Topic,Parent Topic,Description,Type
ONYX Enterprise AI Search,,,Root
AUTH & ACCESS,ONYX Enterprise AI Search,,Branch
Authentication,AUTH & ACCESS,,Category
JWT Tokens,Authentication,,Subcategory
generate_jwt_token,JWT Tokens,backend/onyx/auth/jwt.py,Function
verify_jwt_token,JWT Tokens,backend/onyx/auth/jwt.py,Function
OAuth2,Authentication,,Subcategory
oauth_authorization_url,OAuth2,backend/onyx/server/documents/standard_oauth.py,Function
oauth_code_to_token,OAuth2,backend/onyx/server/documents/standard_oauth.py,Function
OAuthConnector interface,OAuth2,backend/onyx/connectors/interfaces.py,Interface
SAML SSO (EE),Authentication,,Subcategory
saml_auth_flow,SAML SSO (EE),ee/onyx/auth/saml.py,Function
saml_metadata_handler,SAML SSO (EE),ee/onyx/auth/saml.py,Function
API Keys,Authentication,,Subcategory
create_api_key,API Keys,backend/onyx/db/api_key.py,Function
validate_api_key,API Keys,backend/onyx/auth/api_key.py,Function
FastAPI-Users,Authentication,,Subcategory
UserManager,FastAPI-Users,backend/onyx/auth/users.py,Class
get_user_db,FastAPI-Users,backend/onyx/db/engine.py,Function
current_user dependency,FastAPI-Users,backend/onyx/auth/users.py,Dependency
Authorization,AUTH & ACCESS,,Category
Access Control,Authorization,,Subcategory
_get_access_for_documents,Access Control,backend/onyx/db/document.py,Function
_get_acl_for_user,Access Control,backend/onyx/db/document.py,Function
check_user_access,Access Control,backend/onyx/access/access.py,Function
User Roles,Authorization,,Subcategory
ADMIN,User Roles,backend/onyx/db/models.py,Enum
CURATOR,User Roles,backend/onyx/db/models.py,Enum
BASIC,User Roles,backend/onyx/db/models.py,Enum
GLOBAL_CURATOR,User Roles,backend/onyx/db/models.py,Enum
Document Permissions,Authorization,,Subcategory
DocumentAccess model,Document Permissions,backend/onyx/db/models.py,Model
ExternalAccess model,Document Permissions,ee/onyx/db/models.py,Model
ACL filtering,Document Permissions,backend/onyx/document_index/vespa/index.py,Feature
User Groups (EE),Authorization,,Subcategory
UserGroup model,User Groups (EE),ee/onyx/db/models.py,Model
User__UserGroup mapping,User Groups (EE),ee/onyx/db/models.py,Model
Group-based access,User Groups (EE),ee/onyx/access/access.py,Feature
Curator privileges,User Groups (EE),ee/onyx/access/access.py,Feature
External Permissions (EE),Authorization,,Subcategory
confluence_doc_sync,External Permissions (EE),ee/onyx/connectors/confluence/permissions.py,Function
gdrive_doc_sync,External Permissions (EE),ee/onyx/connectors/google_drive/permissions.py,Function
jira_doc_sync,External Permissions (EE),ee/onyx/connectors/jira/permissions.py,Function
CONNECTORS (50+),ONYX Enterprise AI Search,,Branch
Connector Framework,CONNECTORS (50+),,Category
BaseConnector,Connector Framework,backend/onyx/connectors/interfaces.py,Interface
LoadConnector,Connector Framework,backend/onyx/connectors/interfaces.py,Interface
PollConnector,Connector Framework,backend/onyx/connectors/interfaces.py,Interface
OAuthConnector,Connector Framework,backend/onyx/connectors/interfaces.py,Interface
identify_connector_class,Connector Framework,backend/onyx/connectors/factory.py,Function
instantiate_connector,Connector Framework,backend/onyx/connectors/factory.py,Function
Document Management,CONNECTORS (50+),,Category
Google Drive,Document Management,backend/onyx/connectors/google_drive,Connector
SharePoint,Document Management,backend/onyx/connectors/sharepoint,Connector
